Word,V.Mean.Sum,A.Mean.Sum,Number of Anagrams,Anagrams
ascension,5.77,5.36,2,"['ascension', 'canonises']"
ascertain,5.3,3.17,5,"['ascertain', 'cartesian', 'cartisane', 'craniates', 'sectarian']"
asinine,5.05,4.63,2,"['asinine', 'insanie']"
asparagus,5.43,2.73,1,['asparagus']
aspect,4.89,3.39,2,"['aspect', 'epacts']"
asphalt,4.46,3.2,3,"['asphalt', 'spathal', 'taplash']"
aspirin,5.3,3.35,1,['aspirin']
ass,5.45,5.43,1,['ass']
assemble,5.14,3.52,2,"['assemble', 'beamless']"
assembly,5.47,3.95,1,['assembly']
assemblyman,5,3.12,1,['assemblyman']
assert,5.68,4.64,6,"['assert', 'asters', 'essart', 'stares', 'tasser', 'terass']"
assertive,5.37,5.55,1,['assertive']
assess,5.84,3.45,2,"['assess', 'sasses']"
assessment,5.22,2.75,1,['assessment']
assign,4.75,3.71,1,['assign']
assignment,5.39,4.45,1,['assignment']
assimilate,4.63,4.15,1,['assimilate']
assistance,5.82,3.82,1,['assistance']
associate,5.2,3.11,1,['associate']
association,5.5,3.67,1,['association']
assorted,5.82,3.52,2,"['assorted', 'torsades']"
assortment,5.64,3.88,1,['assortment']
assume,4.41,4.2,3,"['amuses', 'assume', 'seamus']"
assumption,4.3,4.14,1,['assumption']
asterisk,5.38,2.78,1,['asterisk']
asteroid,4.95,5.6,2,"['asteroid', 'troiades']"
astonish,5.55,5.38,1,['astonish']
astral,5.32,5.13,5,"['altars', 'astral', 'ratals', 'talars', 'tarsal']"
astrology,4.79,4.18,1,['astrology']
astronomer,5.59,5.42,1,['astronomer']
atheist,4.64,4.76,2,"['atheist', 'staithe']"
atmospheric,5.72,4.09,1,['atmospheric']
atoll,5.14,3.55,2,"['allot', 'atoll']"
atom,5.74,4.29,5,"['atmo', 'atom', 'moat', 'mota', 'toma']"
atomic,4.26,5.85,2,"['atomic', 'matico']"
atone,5.6,4,2,"['atone', 'oaten']"
attach,5.26,3.81,2,"['attach', 'chatta']"
attain,5.85,3.11,2,"['attain', 'tatian']"
attempted,5.35,3.64,1,['attempted']
attend,5.4,3.5,2,"['attend', 'detant']"
attendant,5.63,3.14,1,['attendant']
attest,5.1,3.68,1,['attest']
attic,4.95,3.45,3,"['attic', 'catti', 'tacit']"
attitude,4.72,4.76,1,['attitude']
attribute,5.67,4.12,1,['attribute']
auction,5.43,4.5,2,"['auction', 'caution']"
auctioneer,5.09,4,1,['auctioneer']
audacious,5.11,4.28,1,['audacious']
audacity,5.2,4.1,1,['audacity']
audition,5.2,4.24,1,['audition']
auditory,5.05,4.5,1,['auditory']
auspicious,4.76,3.39,1,['auspicious']
authenticate,5.1,4.36,1,['authenticate']
authority,4.76,5.35,1,['authority']
authorize,5.37,4.67,1,['authorize']
auto,5,4.95,1,['auto']
autobiographical,4.82,3.74,1,['autobiographical']
autobiography,5.79,2.85,1,['autobiography']
automated,4.74,4.05,1,['automated']
automobile,5.45,3.91,1,['automobile']
automotive,5.37,4.5,1,['automotive']
autonomy,5.05,4.09,1,['autonomy']
autopilot,5.65,4.11,1,['autopilot']
auxiliary,5.26,3.61,1,['auxiliary']
avail,5.42,3.77,2,"['alvia', 'avail']"
availability,5.68,4.38,1,['availability']
avenging,4.89,6.1,1,['avenging']
avenue,5.74,3.3,1,['avenue']
average,4.89,3.29,1,['average']
avert,5.16,3.62,4,"['avert', 'tarve', 'taver', 'trave']"
avid,5.74,4.32,2,"['avid', 'diva']"
await,5.33,2.91,1,['await']
awning,5.79,2.9,2,"['awning', 'waning']"
axis,4.19,3.92,1,['axis']
axle,4.67,2.45,4,"['alex', 'axel', 'axle', 'exla']"
babble,4.55,4,1,['babble']
baboon,5.55,5.11,1,['baboon']
babysit,4.74,3.67,1,['babysit']
Bacardi,5.68,4.36,0,[]
bachelor,5.58,4.14,3,"['bachelor', 'crabhole', 'lochaber']"
bachelorette,5.52,4.09,1,['bachelorette']
back,4.76,2.59,1,['back']
backboard,4.7,3.41,1,['backboard']
backbone,5.16,4.05,1,['backbone']
backdoor,4.86,3.85,1,['backdoor']
backdrop,5.45,2.7,1,['backdrop']
backer,4.73,3.53,2,"['backer', 'reback']"
backgammon,5.6,2.06,1,['backgammon']
background,5.05,3.67,1,['background']
backroom,4.6,3.5,0,[]
backseat,4.84,3.32,1,['backseat']
backside,4.58,3.68,2,"['backside', 'diebacks']"
backtrack,4.26,3.15,1,['backtrack']
backup,5.85,3.45,1,['backup']
backwater,4.33,3.84,1,['backwater']
backwoods,5,2.57,1,['backwoods']
badge,5.24,4.4,3,"['badge', 'begad', 'debag']"
badger,4.63,4.35,3,"['badger', 'barged', 'garbed']"
bag,5.05,3.43,2,"['bag', 'gab']"
baggage,4.5,4,1,['baggage']
baggie,5.43,3.55,1,['baggie']
baggy,4.45,4.05,1,['baggy']
bagman,4.7,2.7,1,['bagman']
bale,4.9,2.78,9,"['abel', 'able', 'albe', 'bael', 'bale', 'beal', 'bela', 'blae', 'blea']"
ballast,4.67,4.06,1,['ballast']
ballistic,5,4.09,1,['ballistic']
ballot,5.29,4.15,1,['ballot']
ballpark,5.44,3.85,1,['ballpark']
ballplayer,5.26,4.09,2,"['ballplayer', 'preallably']"
ballpoint,5.1,2.46,1,['ballpoint']
ballroom,5.75,4.27,2,"['ballroom', 'moorball']"
ballsy,4.9,5.29,2,"['ballsy', 'syllab']"
balmy,5.23,4.23,2,"['balmy', 'lamby']"
bam,5.05,3.96,3,"['amb', 'bam', 'mab']"
bandanna,5.26,3.15,1,['bandanna']
bandstand,5.81,3.54,1,['bandstand']
bandwidth,5.32,3.43,1,['bandwidth']
bang,5.1,6.09,1,['bang']
banister,5.42,2.55,2,"['banister', 'barniest']"
banker,4.89,3.38,3,"['banker', 'barken', 'rebank']"
banking,5.47,4.24,1,['banking']
banner,5.17,3.55,1,['banner']
banter,5.48,3.5,1,['banter']
banzai,5.65,4.73,2,"['banzai', 'zabian']"
baptize,5.59,3.32,1,['baptize']
bar,5,4.53,5,"['abr', 'arb', 'bar', 'bra', 'rab']"
barber,4.89,3.18,2,"['barber', 'barbre']"
barbershop,5.37,3.18,1,['barbershop']
barbie doll,5.23,3.96,0,[]
bard,4.45,2.94,4,"['bard', 'brad', 'darb', 'drab']"
bare,5.5,4.65,3,"['bare', 'bear', 'brae']"
bargaining,5.37,4.14,1,['bargaining']
barge,5.44,3.15,4,"['bagre', 'barge', 'begar', 'rebag']"
barium,4.9,2.91,1,['barium']
bark,4.86,3.4,2,"['bark', 'kbar']"
barkeep,5.7,3.71,2,"['barkeep', 'prebake']"
barley,4.95,3.62,4,"['barely', 'barley', 'bleary', 'yerbal']"
barmaid,4.85,4.6,1,['barmaid']
barman,5.28,4.95,1,['barman']
barnacle,5.27,3.52,2,"['balancer', 'barnacle']"
barnyard,5.65,2.55,1,['barnyard']
barometer,5,2.88,1,['barometer']
baroness,4.75,4.36,1,['baroness']
barracuda,4.85,5.16,1,['barracuda']
barrage,4.24,3.96,1,['barrage']
barrel,4.92,3.43,1,['barrel']
barricade,4.32,4.23,1,['barricade']
barrier,4.47,4.7,1,['barrier']
barrister,4.95,3.18,1,['barrister']
barroom,4.9,4.65,1,['barroom']
bartender,5.63,4.95,1,['bartender']
barter,5.64,4.74,2,"['barret', 'barter']"
base,5.68,3.1,4,"['base', 'besa', 'sabe', 'seba']"
baseball,5.79,3.15,1,['baseball']
baseball bat,5.75,3.39,0,[]
baseline,5.4,2.52,2,"['balinese', 'baseline']"
baseman,5.19,3.95,1,['baseman']
basement,4.81,3.33,1,['basement']
bashful,5.55,4.36,1,['bashful']
basic,5.5,2.95,2,"['bacis', 'basic']"
basin,5.47,2.77,3,"['basin', 'nabis', 'sabin']"
basis,5.42,2.68,4,"['absis', 'basis', 'bassi', 'isbas']"
basket,5.66,2.48,2,"['basket', 'betask']"
basketball,5.67,4.35,1,['basketball']
bass,5.23,4.87,2,"['bass', 'sabs']"
bat,4.81,4.57,3,"['abt', 'bat', 'tab']"
batch,5.57,3.29,1,['batch']
bathhouse,5.32,4,1,['bathhouse']
bathroom,5.26,2.86,1,['bathroom']
baton,4.63,3.64,2,"['baton', 'botan']"
battalion,5.14,4.76,1,['battalion']
batter,5.24,3.85,4,"['batter', 'bertat', 'tabret', 'tarbet']"
battery,4.26,3.95,1,['battery']
battleship,4.43,3.41,1,['battleship']
batty,4.44,4.05,1,['batty']
bauble,5.71,3.83,2,"['bauble', 'bubale']"
bayonet,4.68,4.45,2,"['bayonet', 'betoyan']"
bazooka,5.37,6.1,1,['bazooka']
beacon,5.18,4.52,2,"['beacon', 'bonace']"
beady,4.58,3.73,3,"['bayed', 'beady', 'beday']"
beak,4.9,2.81,2,"['bake', 'beak']"
beaker,5.5,3.79,3,"['beaker', 'berake', 'rebake']"
beam,5.74,3.59,3,"['ambe', 'beam', 'bema']"
beanie,5.58,3.58,1,['beanie']
bear,5.33,4.5,3,"['bare', 'bear', 'brae']"
bearable,5.72,3.57,1,['bearable']
beard,5.09,3.18,6,"['ardeb', 'barde', 'bared', 'beard', 'bread', 'debar']"
bearded,5.67,5.53,3,"['bearded', 'bedread', 'breaded']"
bearer,4.95,4.7,2,"['bearer', 'rebear']"
bearings,5.43,3.29,2,"['bearings', 'sabering']"
bearskin,4.25,3.95,1,['bearskin']
beast,4.42,5.83,9,"['abets', 'baste', 'bates', 'beast', 'beats', 'betas', 'estab', 'sebat', 'tabes']"
beastly,4.19,6.22,1,['beastly']
beat,4.38,5.52,4,"['abet', 'bate', 'beat', 'beta']"
beaver,5,4.05,1,['beaver']
bedding,5.05,3.65,1,['bedding']
beefsteak,5.53,4.05,1,['beefsteak']
beehive,4.26,5.39,1,['beehive']
beep,5.11,3.82,1,['beep']
beeper,4.9,3.16,1,['beeper']
beer,5.67,4.3,3,"['beer', 'bere', 'bree']"
bees,5.14,5.53,1,['bees']
beeswax,5.15,3.62,1,['beeswax']
beetle,4.2,4.45,1,['beetle']
beginner,5.15,3.5,1,['beginner']
behavior,5.28,4.27,1,['behavior']
behavioral,5.1,4.1,1,['behavioral']
beholden,5.05,3.24,1,['beholden']
beige,5.26,2.6,1,['beige']
belated,4.21,3.19,3,"['beadlet', 'belated', 'bleated']"
belay,5.5,3.43,2,"['belay', 'eably']"
belch,4.18,4.77,1,['belch']
believer,5.64,4.1,1,['believer']
bell,5.67,4.7,1,['bell']
bellboy,4.95,3.13,1,['bellboy']
bellhop,5.47,4,1,['bellhop']
bellman,5.35,3.25,1,['bellman']
bellow,4.63,4.75,1,['bellow']
belly,4.37,3.75,1,['belly']
bellybutton,5.73,4.95,1,['bellybutton']
bellyful,5.85,3.28,1,['bellyful']
belt,4.44,3.45,2,"['belt', 'blet']"
beluga,5.1,3.77,2,"['beluga', 'blague']"
bench,5.5,3.46,1,['bench']
bend,5.75,4.4,1,['bend']
benzene,4.53,3.95,1,['benzene']
bequeath,4.64,4.39,1,['bequeath']
beret,5.05,3.78,1,['beret']
berth,4.52,2.71,2,"['berth', 'breth']"
beryllium,5.6,3.87,1,['beryllium']
beseech,4.89,4.77,2,"['beeches', 'beseech']"
bet,4.95,4.76,1,['bet']
beta,5.55,3.6,4,"['abet', 'bate', 'beat', 'beta']"
bewildered,4.32,4.57,1,['bewildered']
biased,4.21,5.52,3,"['abides', 'biased', 'dibase']"
bib,5.78,3.57,1,['bib']
bible,5.74,3.65,2,"['bible', 'blibe']"
bicarbonate,4.9,3.5,1,['bicarbonate']
bid,5.16,4,2,"['bid', 'dib']"
bidder,5.39,3.5,3,"['bedrid', 'bidder', 'birded']"
bidding,5.29,4.91,1,['bidding']
bide,4.5,3.61,4,"['beid', 'bide', 'debi', 'dieb']"
big,5.64,4.33,2,"['big', 'gib']"
biggie,5.32,3.76,1,['biggie']
bighorn,4.77,4.65,1,['bighorn']
biker,5.32,4.04,2,"['biker', 'brike']"
bikini,5.57,5.43,1,['bikini']
bilateral,5.23,2.86,1,['bilateral']
bilge,4.55,3.73,2,"['bilge', 'gibel']"
billboard,4.25,4,3,"['billboard', 'boardbill', 'broadbill']"
bin,4.95,3.04,2,"['bin', 'nib']"
binary,4.58,3.29,2,"['binary', 'brainy']"
bind,4.82,4.53,2,"['bind', 'inbd']"
binder,5.16,3.17,4,"['binder', 'brined', 'inbred', 'rebind']"
binding,4.15,4.21,1,['binding']
bingo,5.62,5,2,"['bingo', 'boing']"
binoculars,5.57,2.58,1,['binoculars']
bio,5.2,3.14,3,"['bio', 'ibo', 'obi']"
biochemist,5.37,4.19,1,['biochemist']
biochemistry,5.48,3.67,1,['biochemistry']
biographer,5.53,3.05,1,['biographer']
biography,5.4,3,1,['biography']
biologist,5.85,3.27,1,['biologist']
bionic,5.42,5.18,2,"['bionic', 'niobic']"
birdcage,5.2,4.23,1,['birdcage']
birdman,5,4.15,2,"['birdman', 'manbird']"
birthing,5.29,6.4,1,['birthing']
birthmark,4.6,3,1,['birthmark']
birthright,5.63,4.58,1,['birthright']
bisexual,4.74,4.5,2,"['bisexual', 'subaxile']"
bishop,4.53,3.77,1,['bishop']
bisque,5.42,2.78,1,['bisque']
bit,5.05,3.86,2,"['bit', 'tib']"
bitsy,5.33,3.05,1,['bitsy']
bittersweet,5.09,4.21,1,['bittersweet']
bitty,5.16,3.6,1,['bitty']
biz,4.7,4.42,1,['biz']
bizarre,4.41,5,2,"['bizarre', 'brazier']"
black,5.4,3.58,1,['black']
blackbird,5.62,3.5,1,['blackbird']
blackboard,4.95,4,1,['blackboard']
blackjack,5,5.05,1,['blackjack']
blacksmith,5.58,3.24,1,['blacksmith']
bladder,4.58,3.78,1,['bladder']
blameless,5.45,3.74,1,['blameless']
blank,4.67,2.9,1,['blank']
blare,4.8,4.68,5,"['abler', 'baler', 'belar', 'blare', 'blear']"
blase,4.46,3.62,4,"['ables', 'bales', 'blase', 'sable']"
blast,4.45,4.5,2,"['blast', 'blats']"
blaster,4.89,5,4,"['blaster', 'labrets', 'reblast', 'stabler']"
blaze,4.47,5.33,1,['blaze']
blazer,5.5,4.22,1,['blazer']
bleach,4.62,5.3,3,"['bachel', 'balche', 'bleach']"
bleep,5,4.85,2,"['bleep', 'plebe']"
blend,5.63,3.48,1,['blend']
blender,5.16,4.05,2,"['blender', 'reblend']"
bleu,4.84,3.67,3,"['bleu', 'blue', 'lube']"
